movie,category,year,worldwide gross ($m),% budget recovered,critics % score,audience % score,audience vs critics % deviance,budget,domestic gross ($m),international gross ($m),opening weekend ($m),second weekend ($m),1st vs 2nd weekend drop off,% gross from opening weekend,% gross from domestic,% gross from international,% budget opening weekend
Ant-Man  ,Ant-Man,2015,518,398%,83%,85%,-2%,130,180,338,57,24,-58%,31.8,34.70%,65.30%,43.80%
Ant-Man & The Wasp,Ant-Man,2018,623,479%,87%,80%,7%,130,216,406,75.8,29,-62%,35,34.70%,65.20%,58.30%
Avengers: Age of Ultron,Avengers,2015,1395,382%,76%,82%,-6%,365,459,936,191,77,-60%,41.7,32.90%,67.10%,52.30%
Avengers: End Game,Avengers,2019,2797,699%,94%,90%,4%,400,858,1939,357,147,-59%,41.6,30.70%,69.30%,89.30%
Avengers: Infinity War,Avengers,2018,2048,683%,85%,91%,-6%,300,678,1369,257,114,-56%,38,33.10%,66.80%,85.70%
Black Panther,Black Panther,2018,1336,668%,96%,79%,17%,200,700,636,202,111,-45%,28.9,52.40%,47.60%,101.00%
Black Panther 2,Black Panther,2022,855,342%,84%,94%,-10%,250,453,401,181,66,-64%,48.6,53.00%,46.90%,72.40%
Black Widow,Unique,2021,379,190%,79%,80%,-1%,200,183,196,80.3,25.8,-68%,43.8,48.30%,51.70%,40.20%
Captain America,Captain America,2011,370,264%,79%,75%,4%,140,176,193,65,25,-62%,36.8,47.60%,52.20%,46.40%
Captain America: Civil War,Captain America,2016,1151,460%,90%,89%,1%,250,408,743,179,72.6,-59%,43.9,35.40%,64.60%,71.60%
Captain America: Winter Soldier,Captain America,2014,714,420%,90%,92%,-2%,170,259,454,95,41,-57%,36.6,36.30%,63.60%,55.90%
Captain Marvel,Unique,2019,1129,645%,79%,45%,34%,175,426,702,153,67.9,-56%,35.9,37.70%,62.20%,87.40%
Dr Strange,Dr Strange,2016,676,410%,89%,86%,3%,165,232,443,85,42.9,-50%,36.6,34.30%,65.50%,51.50%
Dr Strange: Multiverse of Madness,Dr Strange,2022,952,476%,74%,77%,-3%,200,411,540,187,61.7,-67%,45.6,43.20%,56.70%,93.50%
Eternals,Unique,2021,402,201%,47%,73%,-26%,200,164,237,71,26.8,-62%,43.2,40.80%,59.00%,35.50%
Guardians of the Galaxy,Guardians,2014,770,453%,92%,92%,0%,170,333,437,94,42.1,-55%,43.3,43.20%,56.80%,55.30%
Guardians of the Galaxy 2,Guardians,2017,869,435%,85%,87%,-2%,200,389,479,146,65,-55%,37.6,44.80%,55.10%,73.00%
Incredible Hulk,Unique,2008,265,193%,67%,69%,-2%,137.5,134,130,55,22.1,-60%,41.1,50.60%,49.10%,40.00%
Iron Man,Iron Man,2008,585,315%,94%,91%,3%,186,318,266,102,51.2,-50%,32.1,54.40%,45.50%,54.80%
Iron Man 2,Iron Man,2010,621,365%,71%,71%,0%,170,312,308,128,52,-59%,41,50.20%,49.60%,75.30%
Iron Man 3,Iron Man,2013,1215,608%,79%,78%,1%,200,408,806,174,72.5,-58%,42.6,33.60%,66.30%,87.00%
Shang-Chi,Unique,2021,432,288%,91%,93%,-2%,150,224,207,75,34.7,-54%,33.6,51.90%,47.90%,50.00%
Spider-Man: Far from Home,Spider-Man,2019,1132,708%,90%,93%,-3%,160,390,741,93,45.3,-51%,23.7,34.50%,65.50%,58.10%
Spider-Man: Homecoming,Spider-Man,2017,878,502%,92%,87%,5%,175,334,544,117,44,-62%,35,38.00%,62.00%,66.90%
Spider-Man: No Way Home,Spider-Man,2021,1911,956%,93%,96%,-3%,200,814,1097,260,84,-68%,32,42.60%,57.40%,130.00%
The Avengers,Avengers,2012,1515,673%,91%,91%,0%,225,623,891,207,103,-50%,33.3,41.10%,58.80%,92.00%
Thor: Dark World,Thor,2013,644,429%,66%,75%,-9%,150,206,438,85,36.5,-57%,41.5,32.00%,68.00%,56.70%
Thor: Love & Thunder,Thor,2022,745,298%,64%,63%,1%,250,343,403,144,46.6,-68%,42,46.00%,54.10%,57.60%
Thor: Ragnarok,Thor,2017,850,472%,93%,87%,6%,180,315,535,122,57,-53%,39,37.10%,62.90%,67.80%
Thor,Thor,2011,449,299%,77%,76%,1%,150,181,268,65,34,-48%,36.3,40.30%,59.70%,43.30%
Ant-Man and the Wasp: Quantumania,Ant-Man,2023,476,190%,47%,83%,36%,250,213,263,104,32,-69%,21.8,44.80%,55.20%,41.60%
Guardians of the Galaxy Vol. 3,Guardians,2023,845,338%,82%,95%,-13%,250,358,487,118,49,-59%,14,42.40%,57.60%,47.20%
The Marvels,Unique,2023,503,201%,57%,73%,-16%,250,215,288,81,27,-67%,16.1,42.70%,57.30%,32.40%
Spider-Man: Across the Spider-Verse,Spider-Man,2023,680,681%,96%,94%,2%,100,380,300,120,52,-57%,17.6,55.90%,44.10%,120.00%
Deadpool,Deadpool,2016,783,1350%,85%,90%,5%,58,363,420,132.4,56.5,-57%,0.1691,46.36%,53.64%,228.28%
Deadpool 2,Deadpool,2018,786,714%,84%,85%,1%,110,324,462,125.5,43.5,-65%,0.1597,41.22%,58.78%,114.09%
